id,company_id,name,type,due_date,status,form_no,section_ref,penalty,notes
1,1,Annual Return Filing,routine,2025-07-31,pending,MGT-7 / MGT-7A,"Section 92, Companies Act 2013","₹100 per day of delay as per Rule 11 of Companies (Management & Administration) Rules, 2014",File within 60 days of AGM using MGT-7 for large companies and MGT-7A for OPCs and Small Companies.
2,1,Board Meeting Minutes,routine,2025-08-15,completed,NA,Section 173 & SS-1,—,Minutes must be recorded and signed within 30 days of the Board Meeting as per Secretarial Standard-1.
3,1,Auditor Appointment,routine,2025-09-30,pending,ADT-1,Section 139(1),"₹50,000 or higher depending on default as per Section 147",File Form ADT-1 within 15 days of AGM for appointment/re-appointment of auditor.
4,1,Financial Statement Filing,routine,2025-09-30,pending,AOC-4,Section 137,"₹1,000 per day of delay as per Rule 12 of Companies (Accounts) Rules, 2014",Financial statements to be filed within 30 days of AGM along with necessary attachments.
5,1,Director KYC,routine,2025-09-15,completed,DIR-3 KYC,"Rule 12A of Companies (Appointment & Qualification of Directors) Rules, 2014","₹5,000 for delay",Every director with DIN must complete KYC annually by 30th September.
6,1,Return of Allotment,conditional,2025-10-15,pending,PAS-3,Section 39(4),"₹1,000 per day of delay",File within 30 days of share allotment for any increase in share capital or new issue.
7,1,Change in Registered Office,conditional,2025-11-01,pending,INC-22,Section 12(4),"₹1,000 per day of default",File within 30 days of shifting registered office to update Registrar of Companies.
8,1,Change in Directors or KMP,conditional,2025-10-10,pending,DIR-12,Section 170(2),₹500 per day of delay,"File within 30 days of appointment, cessation, or change in designation of directors or KMP."
9,2,Annual General Meeting (AGM),routine,2025-09-30,pending,NA,Section 96,"₹1,00,000 + ₹5,000 per day of continuing default",AGM to be held within 6 months from the end of the financial year (except first AGM within 9 months).
10,2,CSR Report Filing,conditional,2025-10-31,pending,CSR-2,Section 135 r/w Rule 12(1B),"₹1,00,000 + ₹500 per day of delay",Applicable to companies meeting CSR thresholds; to be filed along with Form AOC-4 or separately if CSR applicable later.
11,2,Dividend Declaration,routine,2025-07-25,completed,NA,Section 123,—,Declared dividend must be transferred to a separate bank account within 5 days of declaration.
12,2,Auditor Resignation,conditional,2025-08-20,pending,ADT-3,Section 140(2),"₹50,000 or imprisonment as per Section 147",Auditor must file ADT-3 within 30 days of resignation to Registrar and the company.
13,2,Charge Creation or Modification,conditional,2025-10-05,overdue,CHG-1,"Section 77 r/w Rule 3 of Companies (Registration of Charges) Rules, 2014","As per Section 86 – up to ₹5,00,000 for company and ₹50,000 for officers",File Form CHG-1 within 30 days of creation or modification of charge on company assets.
14,3,Return of Deposits,conditional,2025-06-30,pending,DPT-3,"Rule 16 of Companies (Acceptance of Deposits) Rules, 2014","As per Rule 21 – ₹5,000 per day during continuing default","Annual filing of return of deposits, loans, and exempted borrowings before 30 June every year."
15,3,Appointment of Company Secretary,conditional,2025-07-15,pending,DIR-12,"Section 203 r/w Rule 8 of Companies (Appointment and Remuneration of Managerial Personnel) Rules, 2014","₹50,000 + ₹1,000 per day of continuing default",Mandatory appointment for companies with paid-up capital ≥ ₹10 crore; file DIR-12 within 30 days.
